year,league_avg,champ_avg
1982,78.61587301587302,
1984,78.86407766990291,
1987,79.06586826347305,
1989,79.0028409090909,
1993,78.8840206185567,
1997,79.13181818181818,77.6
1998,78.98405466970387,80.6
1999,79.09794988610479,79.4
2000,79.1002277904328,80.6
2001,79.10696517412936,80.6
2002,79.19331742243436,79.6
2003,79.35849056603773,79.2
2004,79.2579185520362,79.8
2005,79.23280423280423,79.6
2006,79.07021791767555,
2007,79.0174672489083,78.6
2008,79.07538802660754,78.8
2009,79.24137931034483,79.4
2010,79.15777262180974,79.2
2011,79.21681415929204,79.6
2012,79.06485355648536,78.6
2013,79.0405117270789,78.0
2014,79.04149377593362,78.6
2015,79.08829568788501,78.2
2016,79.22666666666667,79.4
2017,79.09876543209876,78.4
2018,78.93227091633466,78.4
2019,78.95094339622642,78.6
2020,78.32325141776937,79.6
2021,78.30616302186878,79.4
2023,78.4508348794063,78.4
2024,78.40034965034965,76.6
2025,78.52724077328647,76.6
