season_end_year,avg_height_in,tallest_height_in,n_players
1980,77.90625,84.0,32
1981,78.33333333333333,85.0,27
1982,,,0
1983,79.16666666666667,89.0,30
1984,,,0
1985,77.4375,83.0,16
1986,78.2,85.0,15
1987,,,0
1988,78.86666666666666,84.0,15
1989,,,0
1990,79.0,85.0,13
1991,78.27586206896552,83.0,29
1992,79.26315789473684,84.0,19
1993,,,0
1994,78.83333333333333,85.0,30
1995,79.08888888888889,90.0,45
1996,78.84615384615384,85.0,13
1997,78.96,85.0,25
1998,79.58333333333333,85.0,12
1999,78.83333333333333,87.0,36
2000,79.17647058823529,84.0,34
2001,78.33333333333333,84.0,12
2002,79.13333333333334,86.0,15
2003,79.66666666666667,84.0,18
2004,80.0,86.0,15
2005,,,0
2006,,,0
2007,78.73076923076923,85.0,26
2008,79.48148148148148,84.0,27
2009,,,0
2010,,,0
2011,79.20454545454545,90.0,44
2012,78.73333333333333,85.0,30
2013,79.66666666666667,85.0,15
2014,79.2,84.0,30
2015,78.73333333333333,84.0,15
2016,,,0
2017,79.73333333333333,87.0,30
2018,,,0
2019,78.66666666666667,84.0,33
2020,78.65625,84.0,32
2021,,,0
2022,78.70588235294117,84.0,34
2023,79.02941176470588,84.0,34
2024,78.77142857142857,88.0,35
2025,79.16666666666667,86.0,18
2026,77.27777777777777,83.0,18
