season_end_year,player_id,player_name,height_in
2026,1629012,Collin Sexton,75
2026,1630581,Josh Giddey,79
2026,1630644,Mac McClung,74
2026,1642265,Rob Dillingham,74
2026,1642530,Yuki Kawamura,67
2026,1631159,Leonard Miller,82
2026,1628380,Zach Collins,81
2026,1630208,Nick Richards,83
2026,1641824,Matas Buzelis,80
2026,1629014,Anfernee Simons,75
2026,1642855,Noa Essengue,80
2026,1630188,Jalen Smith,80
2026,1627824,Guerschon Yabusele,79
2026,1630200,Tre Jones,73
2026,1631093,Jaden Ivey,75
2026,1630171,Isaac Okoro,76
2026,1630172,Patrick Williams,78
2026,1642950,Lachlan Olbrich,80
